date,day,pmutS,volume,treatment,Well Row,Well Col,Content,OD,N,concentration
2017-08-16,2,100,1,double,G,4,Sample X76,1.15,115e7,0.125
2017-08-16,2,100,1,double,G,5,Sample X77,1.027,1026999999.9999999,0.125
2017-08-16,2,100,1,double,G,6,Sample X78,1.02,102e7,0.125
2017-08-16,2,100,1,double,G,7,Sample X79,1.151,1151e6,0.125
2017-08-16,2,100,1,double,G,8,Sample X80,1.161,1161e6,0.125
2017-08-16,2,100,1,double,G,9,Sample X81,1.166,1166e6,0.125
2017-08-16,2,100,1,double,G,10,Sample X82,1.144,1144e6,0.125
2017-08-16,2,100,1,double,G,11,Sample X83,1.081,1081e6,0.125
2017-08-16,2,50,1,double,B,2,Sample X14,1.3,13e8,0.125
2017-08-16,2,50,1,double,B,3,Sample X15,1.274,1274e6,0.125
2017-08-16,2,50,1,double,B,4,Sample X16,1.224,1224e6,0.125
2017-08-16,2,50,1,double,B,5,Sample X17,1.252,1252e6,0.125
2017-08-16,2,50,1,double,B,6,Sample X18,1.213,1213e6,0.125
2017-08-16,2,50,1,double,B,7,Sample X19,1.234,1234e6,0.125
2017-08-16,2,50,1,double,B,8,Sample X20,1.295,1295e6,0.125
2017-08-16,2,50,1,double,B,9,Sample X21,1.255,1255e6,0.125
2017-08-16,2,50,1,double,B,10,Sample X22,1.224,1224e6,0.125
2017-08-16,2,50,1,double,B,11,Sample X23,1.266,1266e6,0.125
2017-08-16,2,50,1,double,C,2,Sample X26,1.048,1048e6,0.125
2017-08-16,2,50,1,double,C,3,Sample X27,1.181,1181e6,0.125
2017-08-16,2,50,1,double,C,4,Sample X28,1.183,1183e6,0.125
2017-08-16,2,50,1,double,C,5,Sample X29,1.117,1117e6,0.125
2017-08-16,2,50,1,double,C,6,Sample X30,1.134,1134e6,0.125
2017-08-16,2,50,1,double,C,7,Sample X31,1.147,1147e6,0.125
2017-08-16,2,50,1,double,C,8,Sample X32,1.16,116e7,0.125
2017-08-16,2,50,1,double,C,9,Sample X33,1.13,113e7,0.125
2017-08-16,2,50,1,double,C,10,Sample X34,1.111,1111e6,0.125
2017-08-16,2,50,1,double,C,11,Sample X35,1.185,1185e6,0.125
2017-08-16,2,50,1,double,D,2,Sample X38,1.162,1162e6,0.125
2017-08-16,2,50,1,double,D,3,Sample X39,1.128,1128e6,0.125
2017-08-16,2,50,1,double,D,4,Sample X40,1.204,1204e6,0.125
2017-08-16,2,50,1,double,D,5,Sample X41,1.117,1117e6,0.125
2017-08-16,2,50,1,double,D,6,Sample X42,1.188,1188e6,0.125
2017-08-16,2,50,1,double,D,7,Sample X43,1.218,1218e6,0.125
2017-08-16,2,50,1,double,D,8,Sample X44,1.234,1234e6,0.125
2017-08-16,2,50,1,double,D,9,Sample X45,1.206,1206e6,0.125
2017-08-16,2,50,1,double,D,10,Sample X46,1.131,1131e6,0.125
2017-08-16,2,50,1,double,D,11,Sample X47,1.171,1171e6,0.125
2017-08-16,2,50,1,double,E,2,Sample X50,0.956,956e6,0.125
2017-08-16,2,50,1,double,E,3,Sample X51,1.083,1083e6,0.125
2017-08-16,2,50,1,double,E,4,Sample X52,1.141,1141e6,0.125
2017-08-16,2,50,1,double,E,5,Sample X53,1.125,1125e6,0.125
2017-08-16,2,50,1,double,E,6,Sample X54,1.154,1154e6,0.125
2017-08-16,2,50,1,double,E,7,Sample X55,1.092,1092e6,0.125
2017-08-16,2,50,1,double,E,8,Sample X56,1.132,1132e6,0.125
2017-08-16,2,50,1,double,E,9,Sample X57,1.209,1209e6,0.125
2017-08-16,2,50,1,double,E,10,Sample X58,1.097,1097e6,0.125
2017-08-16,2,50,1,double,E,11,Sample X59,1.21,121e7,0.125
2017-08-16,2,50,1,double,F,2,Sample X62,1.174,1174e6,0.125
2017-08-16,2,50,1,double,F,3,Sample X63,1.069,1069e6,0.125
2017-08-16,2,50,1,double,F,4,Sample X64,1.15,115e7,0.125
2017-08-16,2,50,1,double,F,5,Sample X65,1.157,1157e6,0.125
2017-08-16,2,50,1,double,F,6,Sample X66,1.203,1203e6,0.125
2017-08-16,2,50,1,double,F,7,Sample X67,1.179,1179e6,0.125
2017-08-16,2,50,1,double,F,8,Sample X68,1.2,12e8,0.125
2017-08-16,2,50,1,double,F,9,Sample X69,1.193,1193e6,0.125
2017-08-16,2,50,1,double,F,10,Sample X70,1.135,1135e6,0.125
2017-08-16,2,50,1,double,F,11,Sample X71,1.181,1181e6,0.125
2017-08-16,2,50,1,double,G,2,Sample X74,1.076,1076e6,0.125
2017-08-16,2,50,1,double,G,3,Sample X75,1.141,1141e6,0.125
2017-08-16,2,50,1,double,G,4,Sample X76,1.171,1171e6,0.125
2017-08-16,2,50,1,double,G,5,Sample X77,1.096,1096e6,0.125
2017-08-16,2,50,1,double,G,6,Sample X78,1.089,1089e6,0.125
2017-08-16,2,50,1,double,G,7,Sample X79,1.151,1151e6,0.125
2017-08-16,2,50,1,double,G,8,Sample X80,1.121,1121e6,0.125
2017-08-16,2,50,1,double,G,9,Sample X81,1.06,106e7,0.125
