strain,id,day,antibiotic,concentration,OD
BW25113,1,1,none,0,1.475
BW25113,2,1,none,0,1.46
BW25113,3,1,none,0,1.476
BW25113,4,1,none,0,1.434
BW25113,5,1,none,0,1.481
BW25113,6,1,none,0,1.482
BW25113,7,1,none,0,1.5
BW25113,8,1,none,0,1.462
BW25113,9,1,none,0,1.477
BW25113,10,1,none,0,1.494
BW25113,11,1,none,0,1.507
BW25113,12,1,none,0,1.482
BW25113,13,1,none,0,1.526
BW25113,14,1,none,0,1.526
BW25113,15,1,none,0,1.514
BW25113,1,2,none,0.0625,1.442
BW25113,2,2,none,0.0625,1.441
BW25113,3,2,none,0.0625,1.456
BW25113,4,2,none,0.0625,1.436
BW25113,5,2,none,0.0625,1.417
BW25113,6,2,none,0.0625,1.45
BW25113,7,2,none,0.0625,1.431
BW25113,8,2,none,0.0625,1.367
BW25113,9,2,none,0.0625,1.355
BW25113,10,2,none,0.0625,1.391
BW25113,11,2,none,0.0625,1.508
BW25113,12,2,none,0.0625,1.475
BW25113,13,2,none,0.0625,1.485
BW25113,14,2,none,0.0625,1.518
BW25113,15,2,none,0.0625,1.441
BW25113,1,3,none,0.125,1.517
BW25113,2,3,none,0.125,1.57
BW25113,3,3,none,0.125,1.611
BW25113,4,3,none,0.125,1.612
BW25113,5,3,none,0.125,1.668
BW25113,6,3,none,0.125,1.625
BW25113,7,3,none,0.125,1.495
BW25113,8,3,none,0.125,1.605
BW25113,9,3,none,0.125,1.698
BW25113,10,3,none,0.125,1.664
BW25113,11,3,none,0.125,1.746
BW25113,12,3,none,0.125,1.79
BW25113,13,3,none,0.125,1.858
BW25113,14,3,none,0.125,1.736
BW25113,15,3,none,0.125,1.651
BW25113,1,4,none,0.25,1.456
BW25113,2,4,none,0.25,1.52
BW25113,3,4,none,0.25,1.438
BW25113,4,4,none,0.25,1.429
BW25113,5,4,none,0.25,1.544
BW25113,6,4,none,0.25,1.512
BW25113,7,4,none,0.25,1.478
BW25113,8,4,none,0.25,1.518
BW25113,9,4,none,0.25,1.544
BW25113,10,4,none,0.25,1.445
BW25113,11,4,none,0.25,1.555
BW25113,12,4,none,0.25,1.534
BW25113,13,4,none,0.25,1.514
BW25113,14,4,none,0.25,1.588
BW25113,15,4,none,0.25,1.395
BW25113,1,5,none,0.5,1.544
BW25113,2,5,none,0.5,1.533
BW25113,3,5,none,0.5,1.556
BW25113,4,5,none,0.5,1.571
BW25113,5,5,none,0.5,1.546
BW25113,6,5,none,0.5,1.631
BW25113,7,5,none,0.5,1.614
BW25113,8,5,none,0.5,1.532
BW25113,9,5,none,0.5,1.662
BW25113,10,5,none,0.5,1.591
BW25113,11,5,none,0.5,1.79
BW25113,12,5,none,0.5,1.702
BW25113,13,5,none,0.5,1.726
BW25113,14,5,none,0.5,1.719
BW25113,15,5,none,0.5,1.643
BW25113,1,6,none,1,1.505
BW25113,2,6,none,1,1.595
BW25113,3,6,none,1,1.601
BW25113,4,6,none,1,1.502
BW25113,5,6,none,1,1.513
BW25113,6,6,none,1,1.541
BW25113,7,6,none,1,1.563
BW25113,8,6,none,1,1.55
BW25113,9,6,none,1,1.542
BW25113,10,6,none,1,1.487
BW25113,11,6,none,1,1.617
BW25113,12,6,none,1,1.62
BW25113,13,6,none,1,1.59
BW25113,14,6,none,1,1.589
BW25113,15,6,none,1,1.521
BW25113,1,7,none,2,1.581
BW25113,2,7,none,2,1.594
BW25113,3,7,none,2,1.57
BW25113,4,7,none,2,1.542
BW25113,5,7,none,2,1.562
BW25113,6,7,none,2,1.627
BW25113,7,7,none,2,1.603
BW25113,8,7,none,2,1.593
BW25113,9,7,none,2,1.638
BW25113,10,7,none,2,1.666
BW25113,11,7,none,2,1.629
BW25113,12,7,none,2,1.576
BW25113,13,7,none,2,1.573
BW25113,14,7,none,2,1.542
BW25113,15,7,none,2,1.549
BW25113,16,1,none,0,1.393
BW25113,17,1,none,0,1.429
BW25113,18,1,none,0,1.455
BW25113,19,1,none,0,1.432
BW25113,20,1,none,0,1.461
BW25113,21,1,none,0,1.481
BW25113,22,1,none,0,1.496
BW25113,23,1,none,0,1.458
BW25113,24,1,none,0,1.447
BW25113,25,1,none,0,1.497
BW25113,26,1,none,0,1.493
BW25113,27,1,none,0,1.482
BW25113,28,1,none,0,1.484
BW25113,29,1,none,0,1.465
BW25113,30,1,none,0,1.462
BW25113,16,2,none,0.0625,1.437
BW25113,17,2,none,0.0625,1.449
BW25113,18,2,none,0.0625,1.412
BW25113,19,2,none,0.0625,1.455
BW25113,20,2,none,0.0625,1.413
BW25113,21,2,none,0.0625,1.434
BW25113,22,2,none,0.0625,1.426
BW25113,23,2,none,0.0625,1.404
BW25113,24,2,none,0.0625,1.473
BW25113,25,2,none,0.0625,1.471
BW25113,26,2,none,0.0625,1.532
BW25113,27,2,none,0.0625,1.532
BW25113,28,2,none,0.0625,1.569
BW25113,29,2,none,0.0625,1.534
BW25113,30,2,none,0.0625,1.534
BW25113,16,3,none,0.125,1.57
BW25113,17,3,none,0.125,1.588
BW25113,18,3,none,0.125,1.662
BW25113,19,3,none,0.125,1.647
BW25113,20,3,none,0.125,1.701
BW25113,21,3,none,0.125,1.696
BW25113,22,3,none,0.125,1.688
BW25113,23,3,none,0.125,1.697
BW25113,24,3,none,0.125,1.694
BW25113,25,3,none,0.125,1.735
BW25113,26,3,none,0.125,1.739
BW25113,27,3,none,0.125,1.814
BW25113,28,3,none,0.125,1.794
BW25113,29,3,none,0.125,1.783
BW25113,30,3,none,0.125,1.725
BW25113,16,4,none,0.25,1.475
BW25113,17,4,none,0.25,1.467
BW25113,18,4,none,0.25,1.464
BW25113,19,4,none,0.25,1.471
BW25113,20,4,none,0.25,1.531
BW25113,21,4,none,0.25,1.49
BW25113,22,4,none,0.25,1.494
BW25113,23,4,none,0.25,1.417
BW25113,24,4,none,0.25,1.431
BW25113,25,4,none,0.25,1.505
BW25113,26,4,none,0.25,1.599
BW25113,27,4,none,0.25,1.611
BW25113,28,4,none,0.25,1.533
BW25113,29,4,none,0.25,1.621
BW25113,30,4,none,0.25,1.47
BW25113,16,5,none,0.5,1.492
BW25113,17,5,none,0.5,1.519
BW25113,18,5,none,0.5,1.443
BW25113,19,5,none,0.5,1.575
BW25113,20,5,none,0.5,1.468
BW25113,21,5,none,0.5,1.564
BW25113,22,5,none,0.5,1.558
BW25113,23,5,none,0.5,1.511
BW25113,24,5,none,0.5,1.609
BW25113,25,5,none,0.5,1.659
BW25113,26,5,none,0.5,1.614
BW25113,27,5,none,0.5,1.577
BW25113,28,5,none,0.5,1.579
BW25113,29,5,none,0.5,1.655
BW25113,30,5,none,0.5,1.601
BW25113,16,6,none,1,1.587
BW25113,17,6,none,1,1.587
BW25113,18,6,none,1,1.588
BW25113,19,6,none,1,1.601
BW25113,20,6,none,1,1.59
BW25113,21,6,none,1,1.574
BW25113,22,6,none,1,1.568
BW25113,23,6,none,1,1.575
BW25113,24,6,none,1,1.577
BW25113,25,6,none,1,1.622
BW25113,26,6,none,1,1.726
BW25113,27,6,none,1,1.727
BW25113,28,6,none,1,1.665
BW25113,29,6,none,1,1.718
BW25113,30,6,none,1,1.766
BW25113,16,7,none,2,1.479
BW25113,17,7,none,2,1.519
BW25113,18,7,none,2,1.476
BW25113,19,7,none,2,1.617
BW25113,20,7,none,2,1.517
BW25113,21,7,none,2,1.48
BW25113,22,7,none,2,1.478
BW25113,23,7,none,2,1.46
BW25113,24,7,none,2,1.47
BW25113,25,7,none,2,1.496
BW25113,26,7,none,2,1.537
BW25113,27,7,none,2,1.539
BW25113,28,7,none,2,1.566
BW25113,29,7,none,2,1.539
BW25113,30,7,none,2,1.492
BW25113,31,1,none,0,1.503
BW25113,32,1,none,0,1.479
BW25113,33,1,none,0,1.494
BW25113,34,1,none,0,1.471
BW25113,35,1,none,0,1.506
BW25113,36,1,none,0,1.534
BW25113,37,1,none,0,1.517
BW25113,38,1,none,0,1.466
BW25113,39,1,none,0,1.478
BW25113,40,1,none,0,1.533
BW25113,41,1,none,0,1.557
BW25113,42,1,none,0,1.502
BW25113,43,1,none,0,1.513
BW25113,44,1,none,0,1.498
BW25113,45,1,none,0,1.509
BW25113,31,2,none,0.0625,1.264
BW25113,32,2,none,0.0625,1.329
BW25113,33,2,none,0.0625,1.407
BW25113,34,2,none,0.0625,1.376
BW25113,35,2,none,0.0625,1.202
BW25113,36,2,none,0.0625,1.355
BW25113,37,2,none,0.0625,1.443
BW25113,38,2,none,0.0625,1.418
BW25113,39,2,none,0.0625,1.524
BW25113,40,2,none,0.0625,1.43
BW25113,41,2,none,0.0625,1.412
BW25113,42,2,none,0.0625,1.47
BW25113,43,2,none,0.0625,1.435
BW25113,44,2,none,0.0625,1.609
BW25113,45,2,none,0.0625,1.636
BW25113,31,3,none,0.125,1.488
BW25113,32,3,none,0.125,1.556
BW25113,33,3,none,0.125,1.553
BW25113,34,3,none,0.125,1.587
BW25113,35,3,none,0.125,1.592
BW25113,36,3,none,0.125,1.672
BW25113,37,3,none,0.125,1.646
BW25113,38,3,none,0.125,1.564
BW25113,39,3,none,0.125,1.669
BW25113,40,3,none,0.125,1.686
BW25113,41,3,none,0.125,1.678
BW25113,42,3,none,0.125,1.722
BW25113,43,3,none,0.125,1.751
BW25113,44,3,none,0.125,1.783
BW25113,45,3,none,0.125,1.732
BW25113,31,4,none,0.25,1.502
BW25113,32,4,none,0.25,1.463
BW25113,33,4,none,0.25,1.512
BW25113,34,4,none,0.25,1.458
BW25113,35,4,none,0.25,1.502
BW25113,36,4,none,0.25,1.39
BW25113,37,4,none,0.25,1.45
BW25113,38,4,none,0.25,1.364
BW25113,39,4,none,0.25,1.514
BW25113,40,4,none,0.25,1.464
BW25113,41,4,none,0.25,1.521
BW25113,42,4,none,0.25,1.51
BW25113,43,4,none,0.25,1.544
BW25113,44,4,none,0.25,1.564
BW25113,45,4,none,0.25,1.456
BW25113,31,5,none,0.5,1.535
BW25113,32,5,none,0.5,1.571
BW25113,33,5,none,0.5,1.554
BW25113,34,5,none,0.5,1.51
BW25113,35,5,none,0.5,1.449
BW25113,36,5,none,0.5,1.478
BW25113,37,5,none,0.5,1.452
BW25113,38,5,none,0.5,1.4
BW25113,39,5,none,0.5,1.486
BW25113,40,5,none,0.5,1.531
BW25113,41,5,none,0.5,1.633
BW25113,42,5,none,0.5,1.607
BW25113,43,5,none,0.5,1.618
BW25113,44,5,none,0.5,1.593
BW25113,45,5,none,0.5,1.563
BW25113,31,6,none,1,1.434
BW25113,32,6,none,1,1.572
BW25113,33,6,none,1,1.496
BW25113,34,6,none,1,1.528
BW25113,35,6,none,1,1.533
BW25113,36,6,none,1,1.525
BW25113,37,6,none,1,1.627
BW25113,38,6,none,1,1.588
BW25113,39,6,none,1,1.597
BW25113,40,6,none,1,1.602
BW25113,41,6,none,1,1.639
BW25113,42,6,none,1,1.681
BW25113,43,6,none,1,1.649
BW25113,44,6,none,1,1.677
BW25113,45,6,none,1,1.69
BW25113,31,7,none,2,1.512
BW25113,32,7,none,2,1.597
BW25113,33,7,none,2,1.574
BW25113,34,7,none,2,1.604
BW25113,35,7,none,2,1.673
BW25113,36,7,none,2,1.575
BW25113,37,7,none,2,1.591
BW25113,38,7,none,2,1.594
BW25113,39,7,none,2,1.584
BW25113,40,7,none,2,1.527
BW25113,41,7,none,2,1.561
BW25113,42,7,none,2,1.585
BW25113,43,7,none,2,1.585
BW25113,44,7,none,2,1.575
BW25113,45,7,none,2,1.638
ΔmutS,1,1,none,0,1.496
ΔmutS,2,1,none,0,1.357
ΔmutS,3,1,none,0,1.449
ΔmutS,4,1,none,0,1.469
ΔmutS,5,1,none,0,1.42
ΔmutS,6,1,none,0,1.444
ΔmutS,7,1,none,0,1.408
ΔmutS,8,1,none,0,1.427
ΔmutS,9,1,none,0,1.438
ΔmutS,10,1,none,0,1.437
ΔmutS,11,1,none,0,1.427
ΔmutS,12,1,none,0,1.436
ΔmutS,13,1,none,0,1.442
ΔmutS,14,1,none,0,1.473
ΔmutS,15,1,none,0,1.46
ΔmutS,1,2,none,0.0625,1.512
ΔmutS,2,2,none,0.0625,1.415
ΔmutS,3,2,none,0.0625,1.536
ΔmutS,4,2,none,0.0625,1.548
ΔmutS,5,2,none,0.0625,1.552
ΔmutS,6,2,none,0.0625,1.525
ΔmutS,7,2,none,0.0625,1.508
ΔmutS,8,2,none,0.0625,1.264
ΔmutS,9,2,none,0.0625,1.481
ΔmutS,10,2,none,0.0625,1.473
ΔmutS,11,2,none,0.0625,1.445
ΔmutS,12,2,none,0.0625,1.442
ΔmutS,13,2,none,0.0625,1.521
ΔmutS,14,2,none,0.0625,1.492
ΔmutS,15,2,none,0.0625,1.495
ΔmutS,1,3,none,0.125,1.502
ΔmutS,2,3,none,0.125,1.353
ΔmutS,3,3,none,0.125,1.561
ΔmutS,4,3,none,0.125,1.617
ΔmutS,5,3,none,0.125,1.542
ΔmutS,6,3,none,0.125,1.613
ΔmutS,7,3,none,0.125,1.588
ΔmutS,8,3,none,0.125,1.523
ΔmutS,9,3,none,0.125,1.573
ΔmutS,10,3,none,0.125,1.533
ΔmutS,11,3,none,0.125,1.599
ΔmutS,12,3,none,0.125,1.584
ΔmutS,13,3,none,0.125,1.573
ΔmutS,14,3,none,0.125,1.649
ΔmutS,15,3,none,0.125,1.5
ΔmutS,1,4,none,0.25,1.515
ΔmutS,2,4,none,0.25,1.517
ΔmutS,3,4,none,0.25,1.52
ΔmutS,4,4,none,0.25,1.534
ΔmutS,5,4,none,0.25,1.554
ΔmutS,6,4,none,0.25,1.532
ΔmutS,7,4,none,0.25,1.496
ΔmutS,8,4,none,0.25,1.472
ΔmutS,9,4,none,0.25,1.438
ΔmutS,10,4,none,0.25,1.452
ΔmutS,11,4,none,0.25,1.585
ΔmutS,12,4,none,0.25,1.481
ΔmutS,13,4,none,0.25,1.524
ΔmutS,14,4,none,0.25,1.523
ΔmutS,15,4,none,0.25,1.541
ΔmutS,1,5,none,0.5,1.515
ΔmutS,2,5,none,0.5,1.551
ΔmutS,3,5,none,0.5,1.517
ΔmutS,4,5,none,0.5,1.504
ΔmutS,5,5,none,0.5,1.474
ΔmutS,6,5,none,0.5,1.578
ΔmutS,7,5,none,0.5,1.538
ΔmutS,8,5,none,0.5,1.532
ΔmutS,9,5,none,0.5,1.577
ΔmutS,10,5,none,0.5,1.546
ΔmutS,11,5,none,0.5,1.565
ΔmutS,12,5,none,0.5,1.571
ΔmutS,13,5,none,0.5,1.576
ΔmutS,14,5,none,0.5,1.547
ΔmutS,15,5,none,0.5,1.483
ΔmutS,1,6,none,1,1.426
ΔmutS,2,6,none,1,1.482
ΔmutS,3,6,none,1,1.444
ΔmutS,4,6,none,1,1.46
ΔmutS,5,6,none,1,1.508
ΔmutS,6,6,none,1,1.432
ΔmutS,7,6,none,1,1.421
ΔmutS,8,6,none,1,1.436
ΔmutS,9,6,none,1,1.387
ΔmutS,10,6,none,1,1.349
ΔmutS,11,6,none,1,1.489
ΔmutS,12,6,none,1,1.432
ΔmutS,13,6,none,1,1.464
ΔmutS,14,6,none,1,1.465
ΔmutS,15,6,none,1,1.406
ΔmutS,1,7,none,2,1.355
ΔmutS,2,7,none,2,1.403
ΔmutS,3,7,none,2,1.369
ΔmutS,4,7,none,2,1.353
ΔmutS,5,7,none,2,1.372
ΔmutS,6,7,none,2,1.4
ΔmutS,7,7,none,2,1.354
ΔmutS,8,7,none,2,1.34
ΔmutS,9,7,none,2,1.326
ΔmutS,10,7,none,2,1.289
ΔmutS,11,7,none,2,1.448
ΔmutS,12,7,none,2,1.443
ΔmutS,13,7,none,2,1.438
ΔmutS,14,7,none,2,1.455
ΔmutS,15,7,none,2,1.419
ΔmutS,16,1,none,0,1.495
ΔmutS,17,1,none,0,1.374
ΔmutS,18,1,none,0,1.442
ΔmutS,19,1,none,0,1.539
ΔmutS,20,1,none,0,1.489
ΔmutS,21,1,none,0,1.463
ΔmutS,22,1,none,0,1.352
ΔmutS,23,1,none,0,1.363
ΔmutS,24,1,none,0,1.414
ΔmutS,25,1,none,0,1.458
ΔmutS,26,1,none,0,1.427
ΔmutS,27,1,none,0,1.475
ΔmutS,28,1,none,0,1.453
ΔmutS,29,1,none,0,1.521
ΔmutS,30,1,none,0,1.41
ΔmutS,16,2,none,0.0625,1.488
ΔmutS,17,2,none,0.0625,1.365
ΔmutS,18,2,none,0.0625,1.456
ΔmutS,19,2,none,0.0625,1.398
ΔmutS,20,2,none,0.0625,1.372
ΔmutS,21,2,none,0.0625,1.337
ΔmutS,22,2,none,0.0625,1.421
ΔmutS,23,2,none,0.0625,1.356
ΔmutS,24,2,none,0.0625,1.473
ΔmutS,25,2,none,0.0625,1.368
ΔmutS,26,2,none,0.0625,1.379
ΔmutS,27,2,none,0.0625,1.323
ΔmutS,28,2,none,0.0625,1.347
ΔmutS,29,2,none,0.0625,1.465
ΔmutS,30,2,none,0.0625,1.377
ΔmutS,16,3,none,0.125,1.454
ΔmutS,17,3,none,0.125,1.628
ΔmutS,18,3,none,0.125,1.605
ΔmutS,19,3,none,0.125,1.672
ΔmutS,20,3,none,0.125,1.617
ΔmutS,21,3,none,0.125,1.619
ΔmutS,22,3,none,0.125,1.617
ΔmutS,23,3,none,0.125,1.555
ΔmutS,24,3,none,0.125,1.631
ΔmutS,25,3,none,0.125,1.532
ΔmutS,26,3,none,0.125,1.629
ΔmutS,27,3,none,0.125,1.579
ΔmutS,28,3,none,0.125,1.604
ΔmutS,29,3,none,0.125,1.634
ΔmutS,30,3,none,0.125,1.524
ΔmutS,16,4,none,0.25,1.5
ΔmutS,17,4,none,0.25,1.52
ΔmutS,18,4,none,0.25,1.52
ΔmutS,19,4,none,0.25,1.573
ΔmutS,20,4,none,0.25,1.501
ΔmutS,21,4,none,0.25,1.536
ΔmutS,22,4,none,0.25,1.515
ΔmutS,23,4,none,0.25,1.478
ΔmutS,24,4,none,0.25,1.524
ΔmutS,25,4,none,0.25,1.593
ΔmutS,26,4,none,0.25,1.601
ΔmutS,27,4,none,0.25,1.559
ΔmutS,28,4,none,0.25,1.563
ΔmutS,29,4,none,0.25,1.604
ΔmutS,30,4,none,0.25,1.55
ΔmutS,16,5,none,0.5,1.548
ΔmutS,17,5,none,0.5,1.571
ΔmutS,18,5,none,0.5,1.533
ΔmutS,19,5,none,0.5,1.542
ΔmutS,20,5,none,0.5,1.497
ΔmutS,21,5,none,0.5,1.566
ΔmutS,22,5,none,0.5,1.545
ΔmutS,23,5,none,0.5,1.577
ΔmutS,24,5,none,0.5,1.599
ΔmutS,25,5,none,0.5,1.622
ΔmutS,26,5,none,0.5,1.489
ΔmutS,27,5,none,0.5,1.509
ΔmutS,28,5,none,0.5,1.498
ΔmutS,29,5,none,0.5,1.489
ΔmutS,30,5,none,0.5,1.503
ΔmutS,16,6,none,1,1.46
ΔmutS,17,6,none,1,1.612
ΔmutS,18,6,none,1,1.522
ΔmutS,19,6,none,1,1.551
ΔmutS,20,6,none,1,1.447
ΔmutS,21,6,none,1,1.468
ΔmutS,22,6,none,1,1.5
ΔmutS,23,6,none,1,1.518
ΔmutS,24,6,none,1,1.484
ΔmutS,25,6,none,1,1.504
ΔmutS,26,6,none,1,1.534
ΔmutS,27,6,none,1,1.582
ΔmutS,28,6,none,1,1.559
ΔmutS,29,6,none,1,1.563
ΔmutS,30,6,none,1,1.482
ΔmutS,16,7,none,2,1.648
ΔmutS,17,7,none,2,1.623
ΔmutS,18,7,none,2,1.578
ΔmutS,19,7,none,2,1.584
ΔmutS,20,7,none,2,1.527
ΔmutS,21,7,none,2,1.544
ΔmutS,22,7,none,2,1.505
ΔmutS,23,7,none,2,1.487
ΔmutS,24,7,none,2,1.501
ΔmutS,25,7,none,2,1.429
ΔmutS,26,7,none,2,1.616
ΔmutS,27,7,none,2,1.527
ΔmutS,28,7,none,2,1.52
ΔmutS,29,7,none,2,1.508
ΔmutS,30,7,none,2,1.438
ΔmutS,31,1,none,0,1.469
ΔmutS,32,1,none,0,1.371
ΔmutS,33,1,none,0,1.424
ΔmutS,34,1,none,0,1.422
ΔmutS,35,1,none,0,1.456
ΔmutS,36,1,none,0,1.429
ΔmutS,37,1,none,0,1.415
ΔmutS,38,1,none,0,1.493
ΔmutS,39,1,none,0,1.387
ΔmutS,40,1,none,0,1.433
ΔmutS,41,1,none,0,1.423
ΔmutS,42,1,none,0,1.408
ΔmutS,43,1,none,0,1.409
ΔmutS,44,1,none,0,1.373
ΔmutS,45,1,none,0,1.383
ΔmutS,31,2,none,0.0625,1.503
ΔmutS,32,2,none,0.0625,1.527
ΔmutS,33,2,none,0.0625,1.544
ΔmutS,34,2,none,0.0625,1.513
ΔmutS,35,2,none,0.0625,1.562
ΔmutS,36,2,none,0.0625,1.412
ΔmutS,37,2,none,0.0625,1.457
ΔmutS,38,2,none,0.0625,1.314
ΔmutS,39,2,none,0.0625,1.395
ΔmutS,40,2,none,0.0625,1.471
ΔmutS,41,2,none,0.0625,1.441
ΔmutS,42,2,none,0.0625,1.613
ΔmutS,43,2,none,0.0625,1.595
ΔmutS,44,2,none,0.0625,1.642
ΔmutS,45,2,none,0.0625,1.464
ΔmutS,31,3,none,0.125,1.537
ΔmutS,32,3,none,0.125,1.557
ΔmutS,33,3,none,0.125,1.547
ΔmutS,34,3,none,0.125,1.55
ΔmutS,35,3,none,0.125,1.528
ΔmutS,36,3,none,0.125,1.457
ΔmutS,37,3,none,0.125,1.511
ΔmutS,38,3,none,0.125,1.444
ΔmutS,39,3,none,0.125,1.423
ΔmutS,40,3,none,0.125,1.396
ΔmutS,41,3,none,0.125,1.454
ΔmutS,42,3,none,0.125,1.482
ΔmutS,43,3,none,0.125,1.453
ΔmutS,44,3,none,0.125,1.478
ΔmutS,45,3,none,0.125,1.485
ΔmutS,31,4,none,0.25,1.487
ΔmutS,32,4,none,0.25,1.599
ΔmutS,33,4,none,0.25,1.547
ΔmutS,34,4,none,0.25,1.541
ΔmutS,35,4,none,0.25,1.554
ΔmutS,36,4,none,0.25,1.479
ΔmutS,37,4,none,0.25,1.499
ΔmutS,38,4,none,0.25,1.476
ΔmutS,39,4,none,0.25,1.467
ΔmutS,40,4,none,0.25,1.53
ΔmutS,41,4,none,0.25,1.576
ΔmutS,42,4,none,0.25,1.578
ΔmutS,43,4,none,0.25,1.526
ΔmutS,44,4,none,0.25,1.563
ΔmutS,45,4,none,0.25,1.521
ΔmutS,31,5,none,0.5,1.328
ΔmutS,32,5,none,0.5,1.462
ΔmutS,33,5,none,0.5,1.475
ΔmutS,34,5,none,0.5,1.521
ΔmutS,35,5,none,0.5,1.47
ΔmutS,36,5,none,0.5,1.372
ΔmutS,37,5,none,0.5,1.498
ΔmutS,38,5,none,0.5,1.504
ΔmutS,39,5,none,0.5,1.459
ΔmutS,40,5,none,0.5,1.458
ΔmutS,41,5,none,0.5,1.401
ΔmutS,42,5,none,0.5,1.416
ΔmutS,43,5,none,0.5,1.47
ΔmutS,44,5,none,0.5,1.516
ΔmutS,45,5,none,0.5,1.499
ΔmutS,31,6,none,1,1.492
ΔmutS,32,6,none,1,1.498
ΔmutS,33,6,none,1,1.468
ΔmutS,34,6,none,1,1.564
ΔmutS,35,6,none,1,1.515
ΔmutS,36,6,none,1,1.463
ΔmutS,37,6,none,1,1.405
ΔmutS,38,6,none,1,1.477
ΔmutS,39,6,none,1,1.407
ΔmutS,40,6,none,1,1.472
ΔmutS,41,6,none,1,1.569
ΔmutS,42,6,none,1,1.498
ΔmutS,43,6,none,1,1.505
ΔmutS,44,6,none,1,1.489
ΔmutS,45,6,none,1,1.435
ΔmutS,31,7,none,2,1.589
ΔmutS,32,7,none,2,1.653
ΔmutS,33,7,none,2,1.564
ΔmutS,34,7,none,2,1.647
ΔmutS,35,7,none,2,1.589
ΔmutS,36,7,none,2,1.527
ΔmutS,37,7,none,2,1.527
ΔmutS,38,7,none,2,1.525
ΔmutS,39,7,none,2,1.546
ΔmutS,40,7,none,2,1.562
ΔmutS,41,7,none,2,1.605
ΔmutS,42,7,none,2,1.562
ΔmutS,43,7,none,2,1.576
ΔmutS,44,7,none,2,1.586
ΔmutS,45,7,none,2,1.558
BW25113,1,1,nalidixic acid,0,1.542
BW25113,2,1,nalidixic acid,0,1.51
BW25113,3,1,nalidixic acid,0,1.525
BW25113,4,1,nalidixic acid,0,1.536
BW25113,5,1,nalidixic acid,0,1.534
BW25113,6,1,nalidixic acid,0,1.5
BW25113,7,1,nalidixic acid,0,1.485
BW25113,8,1,nalidixic acid,0,1.516
BW25113,9,1,nalidixic acid,0,1.488
BW25113,10,1,nalidixic acid,0,1.549
BW25113,11,1,nalidixic acid,0,1.557
BW25113,12,1,nalidixic acid,0,1.562
BW25113,13,1,nalidixic acid,0,1.498
BW25113,14,1,nalidixic acid,0,1.499
BW25113,15,1,nalidixic acid,0,1.508
BW25113,1,2,nalidixic acid,0.0625,1.615
BW25113,2,2,nalidixic acid,0.0625,1.645
BW25113,3,2,nalidixic acid,0.0625,1.586
BW25113,4,2,nalidixic acid,0.0625,1.582
BW25113,5,2,nalidixic acid,0.0625,1.602
BW25113,6,2,nalidixic acid,0.0625,1.542
BW25113,7,2,nalidixic acid,0.0625,1.47
BW25113,8,2,nalidixic acid,0.0625,1.49
BW25113,9,2,nalidixic acid,0.0625,1.558
BW25113,10,2,nalidixic acid,0.0625,1.478
BW25113,11,2,nalidixic acid,0.0625,1.57
BW25113,12,2,nalidixic acid,0.0625,1.629
BW25113,13,2,nalidixic acid,0.0625,1.45
BW25113,14,2,nalidixic acid,0.0625,1.506
BW25113,15,2,nalidixic acid,0.0625,1.622
BW25113,1,3,nalidixic acid,0.125,1.038
BW25113,2,3,nalidixic acid,0.125,0.132
BW25113,3,3,nalidixic acid,0.125,0.103
BW25113,4,3,nalidixic acid,0.125,0.566
BW25113,5,3,nalidixic acid,0.125,0.036
BW25113,6,3,nalidixic acid,0.125,1.701
BW25113,7,3,nalidixic acid,0.125,0.32
BW25113,8,3,nalidixic acid,0.125,1.282
BW25113,9,3,nalidixic acid,0.125,0.227
BW25113,10,3,nalidixic acid,0.125,0.252
BW25113,11,3,nalidixic acid,0.125,1.774
BW25113,12,3,nalidixic acid,0.125,0.733
BW25113,13,3,nalidixic acid,0.125,1.707
BW25113,14,3,nalidixic acid,0.125,1.327
BW25113,15,3,nalidixic acid,0.125,1.562
BW25113,1,4,nalidixic acid,0.25,0.219
BW25113,2,4,nalidixic acid,0.25,0.029
BW25113,3,4,nalidixic acid,0.25,0.027
BW25113,4,4,nalidixic acid,0.25,0.029
BW25113,5,4,nalidixic acid,0.25,0.028
BW25113,6,4,nalidixic acid,0.25,1.356
BW25113,7,4,nalidixic acid,0.25,0.058
BW25113,8,4,nalidixic acid,0.25,1.078
BW25113,9,4,nalidixic acid,0.25,0.032
BW25113,10,4,nalidixic acid,0.25,0.028
BW25113,11,4,nalidixic acid,0.25,1.311
BW25113,12,4,nalidixic acid,0.25,0.099
BW25113,13,4,nalidixic acid,0.25,0.848
BW25113,14,4,nalidixic acid,0.25,1.163
BW25113,15,4,nalidixic acid,0.25,1.052
BW25113,1,5,nalidixic acid,0.5,0.034
BW25113,2,5,nalidixic acid,0.5,0.031
BW25113,3,5,nalidixic acid,0.5,0.03
BW25113,4,5,nalidixic acid,0.5,0.03
BW25113,5,5,nalidixic acid,0.5,0.03
BW25113,6,5,nalidixic acid,0.5,0.443
BW25113,7,5,nalidixic acid,0.5,0.121
BW25113,8,5,nalidixic acid,0.5,0.124
BW25113,9,5,nalidixic acid,0.5,0.088
BW25113,10,5,nalidixic acid,0.5,0.074
BW25113,11,5,nalidixic acid,0.5,0.993
BW25113,12,5,nalidixic acid,0.5,0.167
BW25113,13,5,nalidixic acid,0.5,0.594
