Well Row,Well Col,Content, 1 - 1, 1 - 2, 1 - 3, 1 - 4, 1 - 5, 1 - 6, 1 - 7, 1 - 8, 1 - 9, 1 - 10, 1 - 11, 1 - 12, 1 - 13, 1 - 14, 1 - 15, 1 - 16, 1 - 17, 1 - 18, 1 - 19, 1 - 20, 1 - 21, 1 - 22, 1 - 23, 1 - 24, 1 - 25, 1 - 26, 1 - 27, 1 - 28, 1 - 29, 1 - 30, 1 - 31, 1 - 32, 1 - 33, 1 - 34, 1 - 35, 1 - 36, 1 - 37, 1 - 38, 1 - 39, 1 - 40, 1 - 41, 1 - 42, 1 - 43, 1 - 44, 1 - 45, 1 - 46, 1 - 47, 1 - 48, 1 - 49, 1 - 50, 1 - 51, 1 - 52, 1 - 53, 1 - 54, 1 - 55,
,,Time,0 h ,0 h 40 min,1 h 20 min,2 h ,2 h 40 min,3 h 20 min,4 h ,4 h 40 min,5 h 20 min,6 h ,6 h 40 min,7 h 20 min,8 h ,8 h 40 min,9 h 20 min,10 h ,10 h 40 min,11 h 20 min,12 h ,12 h 40 min,13 h 20 min,14 h ,14 h 40 min,15 h 20 min,16 h ,16 h 40 min,17 h 20 min,18 h ,18 h 40 min,19 h 20 min,20 h ,20 h 40 min,21 h 20 min,22 h ,22 h 40 min,23 h 20 min,24 h ,24 h 40 min,25 h 20 min,26 h ,26 h 40 min,27 h 20 min,28 h ,28 h 40 min,29 h 20 min,30 h ,30 h 40 min,31 h 20 min,32 h ,32 h 40 min,33 h 20 min,34 h ,34 h 40 min,35 h 20 min,36 h ,
F,8,Sample X68,0.042,0.043,0.043,0.043,0.044,0.046,0.046,0.047,0.045,0.045,0.043,0.047,0.046,0.049,0.052,0.063,0.099,0.126,0.181,0.217,0.272,0.315,0.348,0.369,0.388,0.408,0.413,0.427,0.44,0.452,0.466,0.479,0.49,0.508,0.521,0.533,0.55,0.554,0.571,0.589,0.594,0.604,0.623,0.63,0.639,0.651,0.665,0.674,0.678,0.699,0.706,0.721,0.725,0.738,0.751,
F,9,Sample X69,0.048,0.047,0.048,0.048,0.047,0.047,0.046,0.046,0.045,0.044,0.041,0.045,0.042,0.043,0.041,0.042,0.043,0.042,0.04,0.041,0.043,0.039,0.042,0.043,0.045,0.049,0.061,0.086,0.117,0.147,0.192,0.228,0.27,0.3,0.338,0.361,0.377,0.383,0.405,0.421,0.433,0.447,0.467,0.484,0.491,0.508,0.533,0.547,0.563,0.58,0.597,0.61,0.621,0.632,0.638,
F,10,Sample X70,0.039,0.037,0.041,0.04,0.039,0.038,0.042,0.04,0.04,0.038,0.037,0.041,0.04,0.041,0.04,0.039,0.037,0.039,0.039,0.039,0.04,0.037,0.036,0.04,0.039,0.037,0.04,0.038,0.04,0.038,0.038,0.038,0.041,0.037,0.037,0.04,0.039,0.039,0.041,0.041,0.041,0.041,0.043,0.044,0.041,0.042,0.044,0.045,0.045,0.045,0.043,0.046,0.045,0.044,0.045,
F,11,Sample X71,0.057,0.061,0.07,0.082,0.1,0.12,0.156,0.2,0.239,0.284,0.322,0.346,0.355,0.361,0.372,0.385,0.393,0.404,0.411,0.418,0.426,0.427,0.433,0.444,0.445,0.455,0.462,0.47,0.472,0.475,0.474,0.481,0.484,0.489,0.496,0.497,0.497,0.499,0.503,0.508,0.513,0.512,0.521,0.521,0.52,0.52,0.525,0.528,0.528,0.534,0.533,0.535,0.535,0.536,0.538,
F,12,Sample X72,0.039,0.039,0.04,0.041,0.038,0.041,0.041,0.038,0.041,0.037,0.038,0.039,0.04,0.04,0.037,0.037,0.036,0.037,0.038,0.038,0.038,0.037,0.036,0.038,0.038,0.035,0.037,0.038,0.038,0.036,0.037,0.036,0.039,0.036,0.037,0.04,0.037,0.04,0.038,0.039,0.041,0.04,0.042,0.042,0.038,0.04,0.039,0.042,0.039,0.044,0.039,0.04,0.04,0.038,0.04,
G,1,Sample X73,0.043,0.043,0.045,0.045,0.044,0.046,0.046,0.043,0.044,0.043,0.041,0.046,0.041,0.046,0.046,0.043,0.044,0.043,0.039,0.043,0.042,0.041,0.04,0.042,0.041,0.041,0.043,0.043,0.043,0.042,0.044,0.041,0.044,0.04,0.043,0.047,0.042,0.043,0.042,0.043,0.043,0.042,0.045,0.046,0.043,0.045,0.044,0.046,0.046,0.047,0.043,0.045,0.044,0.046,0.048,
G,2,Sample X74,0.038,0.04,0.042,0.042,0.043,0.043,0.042,0.043,0.043,0.041,0.039,0.043,0.04,0.043,0.042,0.041,0.043,0.041,0.041,0.041,0.041,0.039,0.038,0.04,0.04,0.039,0.04,0.041,0.04,0.04,0.045,0.037,0.044,0.041,0.042,0.043,0.042,0.042,0.043,0.043,0.045,0.042,0.045,0.047,0.045,0.045,0.046,0.047,0.048,0.047,0.046,0.045,0.046,0.046,0.048,
G,3,Sample X75,0.041,0.041,0.044,0.043,0.044,0.043,0.044,0.045,0.044,0.043,0.04,0.044,0.041,0.043,0.046,0.042,0.044,0.041,0.04,0.044,0.042,0.04,0.04,0.043,0.042,0.04,0.043,0.043,0.043,0.041,0.045,0.041,0.048,0.041,0.043,0.046,0.046,0.044,0.043,0.046,0.048,0.045,0.047,0.049,0.045,0.048,0.05,0.049,0.051,0.052,0.049,0.049,0.05,0.048,0.051,
G,4,Sample X76,0.038,0.036,0.039,0.04,0.04,0.042,0.041,0.041,0.042,0.04,0.036,0.04,0.041,0.041,0.042,0.041,0.04,0.037,0.037,0.039,0.038,0.037,0.037,0.039,0.04,0.038,0.038,0.039,0.04,0.039,0.042,0.039,0.043,0.038,0.039,0.042,0.042,0.04,0.042,0.044,0.043,0.042,0.043,0.045,0.042,0.044,0.048,0.045,0.049,0.05,0.046,0.046,0.046,0.046,0.049,
G,5,Sample X77,0.044,0.045,0.046,0.048,0.048,0.048,0.048,0.049,0.046,0.047,0.044,0.049,0.047,0.05,0.048,0.047,0.045,0.046,0.045,0.046,0.047,0.043,0.045,0.046,0.048,0.043,0.046,0.046,0.047,0.044,0.047,0.045,0.049,0.045,0.045,0.049,0.046,0.047,0.048,0.049,0.05,0.047,0.051,0.052,0.049,0.051,0.052,0.05,0.052,0.056,0.051,0.052,0.051,0.051,0.054,
